Statistics for AC 12kWh Charger (0-20%):
--------------------------------------
Start Time: 179.423584, Charging Time: 0.481178
Start Time: 176.555210, Charging Time: 9.282532
Start Time: 183.414467, Charging Time: 13.758936
Start Time: 185.224372, Charging Time: 12.485334
Start Time: 202.333797, Charging Time: 12.322343
Start Time: 219.096465, Charging Time: 4.279642
Start Time: 225.172720, Charging Time: 15.038927
Start Time: 229.737572, Charging Time: 11.148731
Start Time: 230.652198, Charging Time: 15.314744
Start Time: 239.846477, Charging Time: 13.385747
Start Time: 246.822779, Charging Time: 6.593657
Start Time: 270.019096, Charging Time: 0.203585
Start Time: 261.675066, Charging Time: 10.129702
Start Time: 262.654949, Charging Time: 10.398253
Start Time: 274.581995, Charging Time: 0.985323
Start Time: 270.988196, Charging Time: 5.798485
Start Time: 285.092300, Charging Time: 8.971126
Start Time: 292.784831, Charging Time: 11.267972
Start Time: 308.875048, Charging Time: 8.771056
Start Time: 328.696007, Charging Time: 2.686765
Start Time: 323.156638, Charging Time: 15.287622
Start Time: 328.437687, Charging Time: 12.071578
Start Time: 329.400965, Charging Time: 15.540104
Start Time: 348.801748, Charging Time: 0.559654
Start Time: 350.382697, Charging Time: 2.893810
Start Time: 351.648804, Charging Time: 10.494602
Start Time: 364.265213, Charging Time: 6.136264
Start Time: 377.950372, Charging Time: 8.321022
Start Time: 375.886238, Charging Time: 11.545191
Start Time: 374.692215, Charging Time: 12.927096
Start Time: 385.295969, Charging Time: 5.633945
Start Time: 396.395868, Charging Time: 12.078616
Start Time: 408.860795, Charging Time: 15.425104
Start Time: 421.623910, Charging Time: 8.779151
Start Time: 426.594811, Charging Time: 6.999250
Start Time: 428.617255, Charging Time: 7.663518
Start Time: 440.376119, Charging Time: 2.340716
Start Time: 449.412240, Charging Time: 1.240620
Start Time: 443.208993, Charging Time: 7.800771
Start Time: 456.668237, Charging Time: 12.607567
Start Time: 483.670222, Charging Time: 0.993797
Start Time: 491.118668, Charging Time: 3.928336
Start Time: 512.944815, Charging Time: 12.587133
